,movie,year,rate,votes,description,genre,minutes,director
0,Interstellar,2014,8.6,1218193,    A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,"
Adventure, Drama, Sci-Fi            ",169,Christopher Nolan
1,Guardianes de la galaxia,2014,8.1,879628,    A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.,"
Action, Adventure, Comedy            ",121,James Gunn
2,Perdida,2014,8.1,723608,"    With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","
Crime, Drama, Mystery            ",149,David Fincher
3,Capitán América: El Soldado de Invierno,2014,7.8,619087,"    As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.","
Action, Adventure, Sci-Fi            ",136,Anthony Russo
4,El gran hotel Budapest,2014,8.1,604432,"    The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend.","
Adventure, Comedy, Drama            ",99,Wes Anderson
5,X-Men: Días del futuro pasado,2014,8.0,597366,    The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,"
Action, Adventure, Sci-Fi            ",132,Bryan Singer
6,The Imitation Game (Descifrando Enigma),2014,8.0,590040,"    During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.","
Biography, Drama, Thriller            ",114,Morten Tyldum
7,Whiplash,2014,8.5,574140,    A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"
Drama, Music            ",106,Damien Chazelle
8,Al filo del mañana,2014,7.9,524184,"    A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.","
Action, Adventure, Sci-Fi            ",113,Doug Liman
9,Kingsman: Servicio secreto,2014,7.7,520933,"    A spy organization recruits an unrefined, but promising street kid into the agency's ultra-competitive training program, just as a global threat emerges from a twisted tech genius.","
Action, Adventure, Comedy            ",129,Matthew Vaughn
