,activity,grade,merit,message,time,user
0,574       ,Sr. Member Offline,262,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41876903#msg41876903"">Quote from: btcluisdiki on July 10, 2018, 03:38:59 AM</a></div>', '<div class=""quote"">I believe that people should not rely more on predictions or speculations since there is no definite assurance<br/>that guarantee it will increase the price immediately. It\'s better that you should be observant on the current market trend and study its pattern on your own. <br/></div>', '<br/>', ""Other people's idea of the market is a guide as well for you to know the market sentiment so that you can act upon it. You do not need to necessarily follow their suggestions but instead you will know what they think about it and then assess it yourself if it is align with your trading plan. There is also an advantage of taking a look at other's speculation because you can have a different perspective that may be helpful for your trades and learn from it as well.""]","July 10, 2018, 04:54:40 AM",yndye
1,686       ,Sr. Member Offline,"256        Hodl tight, Fight the bear!","['1. Predictions can be true as well, and in crypto space we are living in pure speculation and predictions.', '<br/>', '<br/>', '2. Even without listening to speculations, you can and will be an speculator. Ex. By trying to look at the historical chart of price movement, how would you react with your next investment move? Speculate right? ', '<br/>', 'And the rest of your guidelines is redundant. ', '<br/>', ""What you have posted completely contradicts the idea in crypto space. There are reliable TA's that guides you along the way.""]","July 10, 2018, 05:32:52 AM",Oasisman
2,41       ,Newbie Offline,0,"[""Prediction is important. It already becomes the bloodstream of this investment. Because of you don't predict and don't believe on it then there's nothing to trade. I invested in bitcoin because of the belief that at some time my investment will go high which is a form of prediction. I predicted that the price will go up and that is the time for me to sell my bitcoin. I also predicted that after selling and if the price goes down back again then I will buy more BTC because that it is the time for me to re-invest. So, see it? Prediction is always used.""]","July 10, 2018, 05:45:56 AM",Maclyn19
3,378       ,Member Offline,11        IDEALCOIN.IO,"[""if you think an investor's prediction is a mistake, then, what should the investor do? in my opinion, a prediction is part of the market analysis."", '<br/>', '<br/>', 'we do not expect to predictions, but we expect on the volatility that profits us. ', '<br/>', '<br/>', 'so, I think predictions are no problem, and do not affect the crypto market. even sometimes good predictions can eliminate the panic.']","July 10, 2018, 05:52:32 AM",zolfa
4,448       ,Full Member Offline,105        Choyor art,"['Predictions are part of the way we work in investing, without which market predictions will fail, and I am confident and optimistic that the price of all coins will spike in the future, and this is part of the prediction.']","July 10, 2018, 09:39:58 AM",Choyor
5,350       ,Member Offline,11,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41865369#msg41865369"">Quote from: avikz on July 09, 2018, 08:52:17 PM</a></div>', '<div class=""quote"">Prediction is the core of bitcoin market. Without prediction, entire market is bound to fail. We invest in bitcoins because we believe that the value of bitcoin will be high in future. That\'s one kind of prediction. <br/><br/>Also majority of the crypto trades are based on short term predictions. If people stop predicting/speculating bitcoin\'s price, the market movement will be halted and the growth will be stopped. Bitcoin is largely a speculative asset. Without prediction, nothing will be achieved.<br/></div>', '<br/>', 'thumbs up ', '<img alt=""Smiley"" border=""0"" src=""https://bitcointalk.org/Smileys/default/smiley.gif""/>']","July 10, 2018, 09:44:45 AM",bitfocus
6,97       ,Newbie Offline,0,"[""not all predictions are true and that's just einstein's imagination, This is a speculative market, do not be too confident with someone's prediction""]","July 10, 2018, 09:54:01 AM",Dewi11
7,126       ,Newbie Offline,0,"['We should stay off from coin market predictions\xa0 because they are all speculations with no proof that it was really happenning ,we not believe until the digital figure of the price value of the market can be seen ,and we conclude that the season is now the true events, not just we believe immediately from those predictions.']","July 10, 2018, 10:21:44 AM",Eigig
8,224       ,Jr. Member Offline,1        Revolutionizing Brokerage of Personal Data,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41862696#msg41862696"">Quote from: 9jaflick on July 09, 2018, 07:56:47 PM</a></div>', '<div class=""quote"">As an investor one thing you shouldn\'t engage yourself with is Predictions, if you want to be successfully in this Crypto ecosystem, you need to stay off any form of market prediction.<br/><br/>Here are few reasons why you shouldn\'t engaged with it (market/price prediction) <br/><br/>1. Predictions can be wrong<br/><br/>2. Listening to predictions makes you a speculator<br/><br/>3. Listening to predictions makes you an onlooker<br/><br/>4. Price prediction gives you nothing for today, only false hope<br/><br/>5. Listening to price prediction makes you think in one direction<br/><br/>Finally<br/><br/><b>Don\x92t let speculation and assumption make you decide what to do.</b><br/></div>', '<br/>', '<br/>', ""absolutely. I see no reason why someone who can predict the future would share that with anyone else. Only thing I can think of is that they're just trying to manipulate the markets...""]","July 10, 2018, 10:47:33 AM",longwintershere
9,308       ,Full Member Offline,100,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41862696#msg41862696"">Quote from: 9jaflick on July 09, 2018, 07:56:47 PM</a></div>', '<div class=""quote"">As an investor one thing you shouldn\'t engage yourself with is Predictions, if you want to be successfully in this Crypto ecosystem, you need to stay off any form of market prediction.<br/><br/>Here are few reasons why you shouldn\'t engaged with it (market/price prediction) <br/><br/>1. Predictions can be wrong<br/><br/>2. Listening to predictions makes you a speculator<br/><br/>3. Listening to predictions makes you an onlooker<br/><br/>4. Price prediction gives you nothing for today, only false hope<br/><br/>5. Listening to price prediction makes you think in one direction<br/><br/>Finally<br/><br/><b>Don\x92t let speculation and assumption make you decide what to do.</b><br/></div>', 'I agree to this. I admit that when Im just a beginner in cryptocurrency market I usually rely on predictions and analysis being posted in some articles and news. But I already stopped relying on those because I had an experience of making a bad move after listening with those predictions given by other people. But I have to disagree to your #2 statement because we are all speculating the price of all of those cryptocurrencies.']","July 10, 2018, 03:15:04 PM",nioctiB#1
